選舉區,號次,姓名,性別,出生年月日,年齡,推薦之政黨,學歷,是否現任,英文姓名,出生地
臺東縣關山鎮,1,余石吉,男,053/08/16,50,中國國民黨,專科,否,YU SHIH CHI,臺灣省
臺東縣關山鎮,2,戴文達,男,052/02/23,51,中國國民黨,專科,否,TAI WEN TA,臺灣省
臺東縣關山鎮,3,吳國堂,男,047/07/25,56,中國國民黨,高中,否,WU KUO TANG,臺灣省
臺東縣卑南鄉,1,吳信義,男,036/03/20,67,中國國民黨,高中,是,,臺灣省
臺東縣卑南鄉,2,許文獻,男,054/09/25,49,民主進步黨,其他,否,,臺灣省
臺東縣鹿野鄉,1,陳金花,女,050/03/12,53,無,其他,否,,臺灣省
臺東縣鹿野鄉,2,李國強,男,050/10/07,53,中國國民黨,其他,否,,臺灣省
臺東縣鹿野鄉,3,陳建光,男,053/09/22,50,無,專科,否,,臺灣省
臺東縣池上鄉,1,林建宏,男,058/02/08,45,無,高中,否,,臺南市
臺東縣池上鄉,2,徐良坤,男,042/12/01,60,無,高中,否,,臺灣省
臺東縣池上鄉,3,張堯城,男,056/05/18,47,無,高中,否,,臺北市
臺東縣池上鄉,4,黃麗香,女,050/03/06,53,中國國民黨,高中,否,,臺灣省
臺東縣池上鄉,5,賴志郎,男,044/09/16,59,無,高中,否,LAI ZHI LANG,臺灣省
臺東縣東河鄉,1,陳式鴻,男,041/12/15,61,中國國民黨,專科,是,,臺灣省
臺東縣東河鄉,2,葉富山,男,045/04/08,58,中國國民黨,高中,否,YEH FU SAN,臺灣省
臺東縣長濱鄉,1,"章雅豐 Yosef‧Akiko‧Kacaw",男,050/05/05,53,無,高中,否,,臺灣省
臺東縣長濱鄉,2,潘淑芳,女,051/07/10,52,中國國民黨,專科,否,,臺灣省
臺東縣太麻里鄉,1,林宏義,男,050/10/06,53,中國國民黨,專科,否,,臺灣省
臺東縣太麻里鄉,2,程正俊,男,055/08/17,48,無,高中,是,,臺灣省
臺東縣大武鄉,1,趙宏翰,男,060/01/11,43,中國國民黨,專科,是,JHAO HUNGHAN,臺灣省
臺東縣大武鄉,2,吳仲民,男,049/03/17,54,無,高中,否,,臺灣省
臺東縣綠島鄉,1,鄭文仁,男,051/10/27,52,中國國民黨,高中,否,,臺灣省
臺東縣綠島鄉,2,李數奼,女,044/12/31,58,中國國民黨,高中,是,LEE SHU CHA,臺灣省
臺東縣海端鄉,1,"余夢蝶 isbalidav Biun",男,044/11/30,58,中國國民黨,大學,否,,臺灣省
臺東縣海端鄉,2,余忠義,男,045/02/25,58,中國國民黨,專科,是,,臺灣省
臺東縣延平鄉,1,胡榮典,男,042/05/16,61,中國國民黨,大學,是,HUJUNGTIEN,臺灣省
臺東縣金峰鄉,1,蔣爭光,男,050/01/20,53,無,碩士,否,,臺灣省
臺東縣金峰鄉,2,"宋賢一 Paramram Djalavak",男,044/02/14,59,中國國民黨,專科,否,,臺灣省
臺東縣達仁鄉,1,"王光清 Saliyan‧Kaluvung",男,037/03/05,66,中國國民黨,專科,是,WANG GUANG CHING,臺灣省
臺東縣達仁鄉,2,張志成,男,047/06/23,56,無,專科,否,,臺灣省
臺東縣蘭嶼鄉,1,"希婻‧瑪飛洑 Sinan‧Mavivo",女,062/06/16,41,無,大學,否,Sinan Mavivo,臺灣省
臺東縣蘭嶼鄉,2,"郭健平 Shaman Fengayan",男,053/04/22,50,無,高中,否,Paul Knight,臺灣省
臺東縣蘭嶼鄉,3,夏曼‧迦拉牧,男,057/02/05,46,無,專科,否,,臺灣省
臺東縣蘭嶼鄉,4,江多利,男,050/03/28,53,無,高中,是,,臺灣省
澎湖縣馬公市,1,吳仁祥,男,060/11/07,43,民主進步黨,專科,否,,臺灣省
澎湖縣馬公市,2,葉竹林,男,051/01/06,52,無,碩士,否,,臺灣省
澎湖縣馬公市,3,歐中慨,男,047/10/10,56,中國國民黨,專科,否,,臺灣省
澎湖縣馬公市,4,吳國華,男,046/12/07,56,無,大學,否,,臺灣省
澎湖縣湖西鄉,1,陳進兩,男,042/11/16,61,無,高中,否,,臺灣省
澎湖縣湖西鄉,2,許蘭香,女,055/03/03,48,中國國民黨,專科,否,,臺灣省
澎湖縣湖西鄉,3,吳政杰,男,056/11/29,46,中國國民黨,碩士,否,,臺灣省
澎湖縣白沙鄉,1,陳定國,男,069/08/10,34,無,其他,是,,臺灣省
澎湖縣白沙鄉,2,莊美李,女,052/12/10,50,無,高中,否,,高雄市
澎湖縣白沙鄉,3,吳龍河,男,042/09/06,61,民主進步黨,碩士,否,,臺灣省
澎湖縣白沙鄉,4,吳凱旋,男,047/11/14,56,無,碩士,否,,臺灣省
澎湖縣西嶼鄉,1,許月里,女,042/10/04,61,無,其他,否,,臺灣省
澎湖縣西嶼鄉,2,李添進,男,055/09/17,48,無,其他,否,,臺灣省
澎湖縣望安鄉,1,許賢德,男,063/03/06,40,無,專科,否,,臺灣省
澎湖縣望安鄉,2,許素秋,女,052/04/02,51,無,其他,否,,臺灣省
澎湖縣七美鄉,1,呂立勳,男,049/11/17,54,中國國民黨,高中,是,,臺灣省
金門縣金城鎮,1,石兆瑉,男,051/03/24,52,中國國民黨,大學,是,SHIH TSAO MING,金馬地區
金門縣金城鎮,2,歐陽彥木,男,050/01/05,53,無,大學,否,ou yang yan mu,金馬地區
金門縣金沙鎮,1,陳其德,男,058/03/01,45,中國國民黨,碩士,否,CHEN CHI TE,金馬地區
金門縣金湖鎮,1,林長鴻,男,056/03/30,47,中國國民黨,大學,否,,金馬地區
金門縣金湖鎮,2,蔡西湖,男,048/08/02,55,中國國民黨,專科,是,,金馬地區
金門縣金寧鄉,1,楊忠俊,男,057/07/20,46,無,大學,否,YANG CHUNG CHUN,金馬地區
金門縣金寧鄉,2,陳成勇,男,051/01/26,52,中國國民黨,大學,是,CHEN CHENG YUNG,金馬地區
金門縣烈嶼鄉,1,洪成發,男,041/07/28,62,中國國民黨,其他,是,HUNG CHENG FA,金馬地區
金門縣烏坵鄉,1,蔡永富,男,060/09/17,43,中國國民黨,高中,否,,金馬地區
金門縣烏坵鄉,2,陳金城,男,050/11/04,53,無,專科,否,,金馬地區
連江縣南竿鄉,1,陳振國,男,047/07/01,56,中國國民黨,高中,否,Chen Kuo Chen,金馬地區
連江縣南竿鄉,2,林樹清,男,058/10/16,45,無,高中,否,Shuh Ching Lin,金馬地區
連江縣南竿鄉,3,曹容華,女,053/06/30,50,中國國民黨,高中,否,,金馬地區
連江縣北竿鄉,1,吳金平,男,054/11/06,49,中國國民黨,高中,否,,金馬地區
連江縣北竿鄉,2,陳如嵐,男,059/12/01,43,中國國民黨,專科,否,CHEN JULAN,金馬地區
連江縣莒光鄉,1,謝春欗,女,049/10/14,54,中國國民黨,大學,否,,金馬地區
連江縣東引鄉,1,楊雲成,男,051/02/23,52,中國國民黨,專科,否,YANG YUN CHENG,金馬地區
連江縣東引鄉,2,林德建,男,060/05/04,43,中國國民黨,高中,否,LIN TE CHIEN,金馬地區
